year,topic,gallup_series,series_id,pct_positive,lag_pct_positive,objective_zscore,match_strength,party_owns_issue,president_party,unified_govt,owner_is_president,owner_has_unified,first_year_term,policy_mood_adjusted,pres_approval_net,event_defense_war,event_cold_war,event_crime,event_race_progress,event_race_police
1956,amount_of_tax,amount_of_tax,1,35,NA,NA,NA,R,R,0,1,0,0,0.07504289614610613,56.38461538461539,0,0,0,0,0
1957,amount_of_tax,amount_of_tax,1,31,35,NA,NA,R,R,0,1,0,0,-0.6299771662078799,42.6,0,0,0,0,0
1959,amount_of_tax,amount_of_tax,1,40,31,NA,NA,R,R,0,1,0,0,0.8352949449517858,41.642857142857146,0,0,0,0,0
1961,amount_of_tax,amount_of_tax,1,45,40,NA,NA,R,D,1,0,0,1,1.5684724905948717,66.57142857142857,0,0,0,0,0
1962,amount_of_tax,amount_of_tax,1,32,45,NA,NA,R,D,1,0,0,0,1.5959801858080676,55.15384615384615,0,0,0,0,0
1963,amount_of_tax,amount_of_tax,1,38,32,NA,NA,R,D,1,0,0,0,0.9007069445926164,44,0,0,0,0,0
1964,amount_of_tax,amount_of_tax,1,35,38,NA,NA,R,D,1,0,0,0,0.11316379659904093,62.714285714285715,0,0,0,0,0
1966,amount_of_tax,amount_of_tax,1,39,35,NA,NA,R,D,1,0,0,0,-0.0854547586017596,15.25,0,0,0,0,0
1967,amount_of_tax,amount_of_tax,1,38,39,NA,NA,R,D,1,0,0,0,-0.1714433806461624,1.9411764705882353,0,0,0,0,0
1969,amount_of_tax,amount_of_tax,1,25,38,NA,NA,R,R,0,1,0,1,-1.618088233629963,42.78947368421053,0,0,0,0,0
1973,amount_of_tax,amount_of_tax,1,28,25,NA,NA,R,R,0,1,0,0,-0.5686804910477635,-5.6,0,0,0,0,0
1982,amount_of_tax,amount_of_tax,1,32,28,0.04321948748537878,strong,R,R,0,1,0,0,-1.6553427499816935,-2.1052631578947367,0,0,0,0,0
1985,amount_of_tax,amount_of_tax,1,32,32,-0.02160974374269054,strong,R,R,0,1,0,0,-0.6145988484115246,29.866666666666667,0,0,0,0,0
1990,amount_of_tax,amount_of_tax,1,31,32,-0.4754143623391689,strong,R,R,0,1,0,0,0.4475880596634193,43.793103448275865,0,0,0,0,0
1991,amount_of_tax,amount_of_tax,1,37,31,-0.4105851311111019,strong,R,R,0,1,0,0,0.6264963765618501,50.714285714285715,0,0,0,0,0
1992,amount_of_tax,amount_of_tax,1,39,37,-0.4105851311111019,strong,R,R,0,1,0,0,0.6925581642785829,-11.928571428571429,0,0,0,0,0
1993,amount_of_tax,amount_of_tax,1,41,39,-0.7347312872514439,strong,R,D,1,0,0,1,0.04926796913531531,7.928571428571429,0,0,0,0,0
1994,amount_of_tax,amount_of_tax,1,30,41,-0.9940482121637164,strong,R,D,1,0,0,0,-0.7727139468810829,0.3793103448275862,0,0,0,0,0
1996,amount_of_tax,amount_of_tax,1,33,30,-1.2533651370759893,strong,R,D,0,0,0,0,-1.133346329006854,16.625,0,0,0,0,0
1997,amount_of_tax,amount_of_tax,1,38,33,-1.318194368304059,strong,R,D,0,0,0,0,-0.5792936962875008,24.894736842105264,0,0,0,0,0
1998,amount_of_tax,amount_of_tax,1,31,38,-1.123706674619853,strong,R,D,0,0,0,0,-0.5565511136309198,32.03225806451613,0,0,0,0,0
1999,amount_of_tax,amount_of_tax,1,28,31,-1.318194368304059,strong,R,D,0,0,0,0,-0.3094150487627489,26.323529411764707,0,0,0,0,0
2000,amount_of_tax,amount_of_tax,1,33,28,-1.3830235995321278,strong,R,D,0,0,0,0,-0.279957989321846,23.821428571428573,0,0,0,0,0
2001,amount_of_tax,amount_of_tax,1,31,33,-0.4105851311111019,strong,R,R,0,1,0,1,-0.45236842546125366,41.84848484848485,0,0,0,0,0
2003,amount_of_tax,amount_of_tax,1,46,31,0.6915117997660628,strong,R,R,1,1,1,0,1.033696904127286,25.07317073170732,0,0,0,0,0
2004,amount_of_tax,amount_of_tax,1,43,46,0.4321948748537878,strong,R,R,1,1,1,0,0.6466398069148218,4.742857142857143,0,0,0,0,0
2005,amount_of_tax,amount_of_tax,1,44,43,0.1080487187134458,strong,R,R,1,1,1,0,1.1400455525499595,-4.261904761904762,0,0,0,0,0
2006,amount_of_tax,amount_of_tax,1,44,44,0.04321948748537878,strong,R,R,1,1,1,0,0.9269150636540092,-19.833333333333332,0,0,0,0,0
2007,amount_of_tax,amount_of_tax,1,41,44,0.30253641239765144,strong,R,R,0,1,0,0,0.9117533418829558,-28.51851851851852,0,0,0,0,0
2008,amount_of_tax,amount_of_tax,1,42,41,1.5991210369590194,strong,R,R,0,1,0,0,0.8387604813565992,-35.333333333333336,0,0,0,0,0
2009,amount_of_tax,amount_of_tax,1,48,42,1.9880964243274308,strong,R,D,1,0,0,1,0.9225831431479932,22.54901960784314,0,0,0,0,0
2010,amount_of_tax,amount_of_tax,1,45,48,1.5342918057309505,strong,R,D,1,0,0,0,0.24355460383009991,1.0576923076923077,0,0,0,0,0
2011,amount_of_tax,amount_of_tax,1,43,45,1.7287794994151555,strong,R,D,0,0,0,0,0.3442717555949557,-2.5384615384615383,0,0,0,0,0
2012,amount_of_tax,amount_of_tax,1,47,43,1.3398041120467468,strong,R,D,0,0,0,0,0.2268767098819415,2.509433962264151,0,0,0,0,0
2013,amount_of_tax,amount_of_tax,1,45,47,0.17287794994151512,strong,R,D,0,0,0,0,0.07764204844971538,-0.17647058823529413,0,0,0,0,0
2014,amount_of_tax,amount_of_tax,1,42,45,-0.1512682061988269,strong,R,D,0,0,0,0,-0.11296245381495712,-9.566037735849056,0,0,0,0,0
2015,amount_of_tax,amount_of_tax,1,42,42,-0.08643897497075986,strong,R,D,0,0,0,0,-0.14653483773657572,-2.8846153846153846,0,0,0,0,0
2016,amount_of_tax,amount_of_tax,1,37,42,0.04321948748537878,strong,R,D,0,0,0,0,0.3598666694166097,7.096153846153846,0,0,0,0,0
2017,amount_of_tax,amount_of_tax,1,42,37,0.17287794994151512,strong,R,R,1,1,1,1,1.472303855361332,-15.403846153846152,0,0,0,0,0
2018,amount_of_tax,amount_of_tax,1,48,42,1.0156579559064047,strong,R,R,1,1,1,0,1.5838508083912255,-14.490196078431373,0,0,0,0,0
2019,amount_of_tax,amount_of_tax,1,48,48,1.080487187134472,strong,R,R,0,1,0,0,1.849830727460562,-12.80952380952381,0,0,0,0,0
2020,amount_of_tax,amount_of_tax,1,48,48,2.960534892748457,strong,R,R,0,1,0,0,2.1820890302719347,-8.31578947368421,0,0,0,0,0
2021,amount_of_tax,amount_of_tax,1,44,48,NA,NA,R,D,1,0,0,1,1.6276032055019791,2.1538461538461537,0,0,0,0,0
2022,amount_of_tax,amount_of_tax,1,41,44,NA,NA,R,D,1,0,0,0,1.7348182380258583,-14.636363636363637,0,0,0,0,0
2023,amount_of_tax,amount_of_tax,1,36,41,NA,NA,R,D,0,0,0,0,NA,-16.583333333333332,0,0,0,0,0
2024,amount_of_tax,amount_of_tax,1,36,36,NA,NA,R,D,0,0,0,0,NA,-15.5,0,0,0,0,0
2025,amount_of_tax,amount_of_tax,1,38,36,NA,NA,R,R,1,1,1,1,NA,-7.75,0,0,0,0,0
2001,amount_of_tax,satisfied_amount_fed_tax,10,26,NA,-0.4105851311111019,strong,R,R,0,1,0,1,-0.45236842546125366,41.84848484848485,0,0,0,0,0
2002,amount_of_tax,satisfied_amount_fed_tax,10,38,26,0.1080487187134458,strong,R,R,0,1,0,0,0.34102281521544414,49.84444444444444,0,0,0,0,0
2003,amount_of_tax,satisfied_amount_fed_tax,10,33,38,0.6915117997660628,strong,R,R,1,1,1,0,1.033696904127286,25.07317073170732,0,0,0,0,0
2004,amount_of_tax,satisfied_amount_fed_tax,10,34,33,0.4321948748537878,strong,R,R,1,1,1,0,0.6466398069148218,4.742857142857143,0,0,0,0,0
2005,amount_of_tax,satisfied_amount_fed_tax,10,38,34,0.1080487187134458,strong,R,R,1,1,1,0,1.1400455525499595,-4.261904761904762,0,0,0,0,0
2006,amount_of_tax,satisfied_amount_fed_tax,10,38,38,0.04321948748537878,strong,R,R,1,1,1,0,0.9269150636540092,-19.833333333333332,0,0,0,0,0
2007,amount_of_tax,satisfied_amount_fed_tax,10,40,38,0.30253641239765144,strong,R,R,0,1,0,0,0.9117533418829558,-28.51851851851852,0,0,0,0,0
2008,amount_of_tax,satisfied_amount_fed_tax,10,34,40,1.5991210369590194,strong,R,R,0,1,0,0,0.8387604813565992,-35.333333333333336,0,0,0,0,0
2012,amount_of_tax,satisfied_amount_fed_tax,10,33,34,1.3398041120467468,strong,R,D,0,0,0,0,0.2268767098819415,2.509433962264151,0,0,0,0,0
2013,amount_of_tax,satisfied_amount_fed_tax,10,36,33,0.17287794994151512,strong,R,D,0,0,0,0,0.07764204844971538,-0.17647058823529413,0,0,0,0,0
2014,amount_of_tax,satisfied_amount_fed_tax,10,38,36,-0.1512682061988269,strong,R,D,0,0,0,0,-0.11296245381495712,-9.566037735849056,0,0,0,0,0
2015,amount_of_tax,satisfied_amount_fed_tax,10,32,38,-0.08643897497075986,strong,R,D,0,0,0,0,-0.14653483773657572,-2.8846153846153846,0,0,0,0,0
2016,amount_of_tax,satisfied_amount_fed_tax,10,36,32,0.04321948748537878,strong,R,D,0,0,0,0,0.3598666694166097,7.096153846153846,0,0,0,0,0
2017,amount_of_tax,satisfied_amount_fed_tax,10,39,36,0.17287794994151512,strong,R,R,1,1,1,1,1.472303855361332,-15.403846153846152,0,0,0,0,0
2018,amount_of_tax,satisfied_amount_fed_tax,10,36,39,1.0156579559064047,strong,R,R,1,1,1,0,1.5838508083912255,-14.490196078431373,0,0,0,0,0
2019,amount_of_tax,satisfied_amount_fed_tax,10,40,36,1.080487187134472,strong,R,R,0,1,0,0,1.849830727460562,-12.80952380952381,0,0,0,0,0
2020,amount_of_tax,satisfied_amount_fed_tax,10,37,40,2.960534892748457,strong,R,R,0,1,0,0,2.1820890302719347,-8.31578947368421,0,0,0,0,0
2021,amount_of_tax,satisfied_amount_fed_tax,10,36,37,NA,NA,R,D,1,0,0,1,1.6276032055019791,2.1538461538461537,0,0,0,0,0
