participant_id,survey_source,topic,state,year,state_year_topic,perception,owner_party,own_013,cond1_z,cond2_z,condition_index_z,net_gub_approve_z,condition_1,condition_2,pid,gub_copartisan,owning_party_governor,copartisan_owned_governor,ideo3,white,black,male,bachelors,age_group,weight
kff16100018,kff16_aca,ACA,NA,2016,NA_2016_ACA,0,D,NA,NA,NA,NA,NA,enroll_pct_of_uninsured2010,premium,3,NA,NA,NA,3,1,0,1,1,2,0.392337112
kff16100021,kff16_aca,ACA,RI,2016,RI_2016_ACA,1,D,3,0.044456211,1.133195873,0.801310227,-2.33550213,enroll_pct_of_uninsured2010,premium,1,1,1,1,1,1,0,1,1,3,0.268441182
kff16100022,kff16_aca,ACA,MN,2016,MN_2016_ACA,1,D,2,-0.70701391,1.160965887,0.308882705,0.131979773,enroll_pct_of_uninsured2010,premium,1,1,1,1,1,1,0,1,0,3,1.084089389
kff16100023,kff16_aca,ACA,OK,2016,OK_2016_ACA,0,D,0,-0.448477351,0.735159016,0.195066908,NA,enroll_pct_of_uninsured2010,premium,1,0,0,0,1,1,0,0,1,2,1.58999777
kff16100026,kff16_aca,ACA,FL,2016,FL_2016_ACA,0,D,0,1.310260077,0.911035767,1.511437123,-1.236817534,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,1,3,0.289090504
kff16100032,kff16_aca,ACA,TN,2016,TN_2016_ACA,1,D,0,0.22935715,0.911035767,0.775957959,1.10344511,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,1,0,0,1,3,0.278765843
kff16100038,kff16_aca,ACA,MO,2016,MO_2016_ACA,1,D,2,0.802067935,0.661105648,0.995587722,-0.371220639,enroll_pct_of_uninsured2010,premium,1,1,1,1,1,1,0,0,0,3,0.578181007
kff16100052,kff16_aca,ACA,FL,2016,FL_2016_ACA,1,D,0,1.310260077,0.911035767,1.511437123,-1.236817534,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,1,0,0,1,3,0.794998885
kff16100062,kff16_aca,ACA,MT,2016,MT_2016_ACA,1,D,2,0.567147151,0.587052279,0.785352329,0.91473824,enroll_pct_of_uninsured2010,premium,1,1,1,1,3,0,0,0,0,3,0.382012451
kff16100064,kff16_aca,ACA,AL,2016,AL_2016_ACA,0,D,0,0.11500959,0.818469056,0.635167208,1.104001475,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,0,1,0,0,3,2.415970638
kff16100068,kff16_aca,ACA,NE,2016,NE_2016_ACA,0,D,1,1.164894659,0.494485568,1.129092679,0.540720551,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,1,0,0,1,NA,0.268441182
kff16100071,kff16_aca,ACA,MT,2016,MT_2016_ACA,0,D,2,0.567147151,0.587052279,0.785352329,0.91473824,enroll_pct_of_uninsured2010,premium,3,0,1,0,2,1,0,0,0,2,1.507400484
kff16100090,kff16_aca,ACA,MS,2016,MS_2016_ACA,0,D,0,-0.476914606,0.985089136,0.345777376,0.838263678,enroll_pct_of_uninsured2010,premium,2,0,0,0,2,1,0,1,1,3,0.505908381
kff16100093,kff16_aca,ACA,MA,2016,MA_2016_ACA,1,D,1,3.625959545,1.1887359,3.276064937,1.077930628,enroll_pct_of_uninsured2010,premium,3,1,0,0,2,1,0,0,0,3,0.474934399
kff16100096,kff16_aca,ACA,TN,2016,TN_2016_ACA,1,D,0,0.22935715,0.911035767,0.775957959,1.10344511,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,1,2,0.495583721
kff16100098,kff16_aca,ACA,WV,2016,WV_2016_ACA,0,D,2,-0.97352458,0.244555448,-0.496012726,-0.117225286,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,1,0,0,0,2,1.022141424
kff16100102,kff16_aca,ACA,TN,2016,TN_2016_ACA,0,D,0,0.22935715,0.911035767,0.775957959,1.10344511,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,1,2,0.815648207
kff16100104,kff16_aca,ACA,TN,2016,TN_2016_ACA,1,D,0,0.22935715,0.911035767,0.775957959,1.10344511,enroll_pct_of_uninsured2010,premium,1,0,0,0,1,1,0,0,1,3,0.340713808
kff16100109,kff16_aca,ACA,OK,2016,OK_2016_ACA,1,D,0,-0.448477351,0.735159016,0.195066908,NA,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,0,1,1,1,2,0.774349564
kff16100111,kff16_aca,ACA,NH,2016,NH_2016_ACA,0,D,2,0.844020552,1.142452545,1.351656596,-0.210468632,enroll_pct_of_uninsured2010,premium,3,0,1,0,2,0,0,1,1,3,0.433635756
kff16100113,kff16_aca,ACA,MS,2016,MS_2016_ACA,0,D,0,-0.476914606,0.985089136,0.345777376,0.838263678,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,0,3,0.939544137
kff16100116,kff16_aca,ACA,MD,2016,MD_2016_ACA,0,D,1,-0.119540019,1.216505913,0.746408894,0.286815438,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,1,3,0.423311095
kff16100122,kff16_aca,ACA,NE,2016,NE_2016_ACA,0,D,1,1.164894659,0.494485568,1.129092679,0.540720551,enroll_pct_of_uninsured2010,premium,2,0,0,0,2,1,0,0,0,3,0.702076938
kff16100123,kff16_aca,ACA,CA,2016,CA_2016_ACA,1,D,3,-0.287638695,0.67961899,0.266715292,-0.242500367,enroll_pct_of_uninsured2010,premium,2,0,1,0,2,1,0,0,1,3,0.278765843
kff16100126,kff16_aca,ACA,KY,2016,KY_2016_ACA,0,D,1,-0.938150625,1.151709216,0.145311748,-0.386992882,enroll_pct_of_uninsured2010,premium,2,0,0,0,3,1,0,1,0,3,0.412986434
kff16100136,kff16_aca,ACA,KY,2016,KY_2016_ACA,1,D,1,-0.938150625,1.151709216,0.145311748,-0.386992882,enroll_pct_of_uninsured2010,premium,1,0,0,0,1,0,1,0,0,2,1.920386918
kff16100142,kff16_aca,ACA,MI,2016,MI_2016_ACA,1,D,0,0.132572369,1.160965887,0.880162696,-0.988741508,enroll_pct_of_uninsured2010,premium,1,0,0,0,3,0,1,0,0,3,1.920386918
kff16100154,kff16_aca,ACA,KY,2016,KY_2016_ACA,1,D,1,-0.938150625,1.151709216,0.145311748,-0.386992882,enroll_pct_of_uninsured2010,premium,3,1,0,0,2,1,0,0,0,3,0.73305092
kff16100156,kff16_aca,ACA,FL,2016,FL_2016_ACA,1,D,0,1.310260077,0.911035767,1.511437123,-1.236817534,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,0,2,0.722726259
kff16100169,kff16_aca,ACA,NE,2016,NE_2016_ACA,0,D,1,1.164894659,0.494485568,1.129092679,0.540720551,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,0,0,3,0.48525906
kff16100177,kff16_aca,ACA,NH,2016,NH_2016_ACA,1,D,2,0.844020552,1.142452545,1.351656596,-0.210468632,enroll_pct_of_uninsured2010,premium,3,0,1,0,2,0,0,0,0,1,2.415970638
kff16100180,kff16_aca,ACA,CA,2016,CA_2016_ACA,1,D,3,-0.287638695,0.67961899,0.266715292,-0.242500367,enroll_pct_of_uninsured2010,premium,1,1,1,1,1,1,0,0,0,3,0.474934399
kff16100189,kff16_aca,ACA,NM,2016,NM_2016_ACA,0,D,1,-0.991830731,1.605286099,0.417413655,-0.633552739,enroll_pct_of_uninsured2010,premium,1,0,0,0,1,0,1,0,0,2,2.415970638
